run,task_quintile,node_fraction_10,node_fraction_11,node_fraction_12,node_fraction_13,node_fraction_14
4,1,0.2300,0.1300,0.4200,0.1250,0.0950
4,2,0.5400,0.2350,0.1100,0.0450,0.0700
4,3,0.9300,0.0200,0.0150,0.0150,0.0200
4,4,0.9600,0.0150,0.0100,0.0100,0.0050
4,5,0.9750,0.0050,0.0100,0.0000,0.0100
2,1,0.2250,0.1300,0.2700,0.2050,0.1700
2,2,0.5500,0.0200,0.0500,0.0450,0.3350
2,3,0.8750,0.0200,0.0150,0.0150,0.0750
2,4,0.9600,0.0150,0.0100,0.0100,0.0050
2,5,0.9750,0.0050,0.0100,0.0000,0.0100
5,1,0.1950,0.1250,0.4600,0.1250,0.0950
5,2,0.6400,0.0200,0.2250,0.0450,0.0700
5,3,0.9250,0.0200,0.0150,0.0150,0.0250
5,4,0.9600,0.0150,0.0100,0.0100,0.0050
5,5,0.9750,0.0050,0.0100,0.0000,0.0100
0,1,0.1550,0.1250,0.3250,0.3000,0.0950
0,2,0.0700,0.0200,0.1600,0.6800,0.0700
0,3,0.2650,0.0200,0.0150,0.5600,0.1400
0,4,0.8800,0.0150,0.0100,0.0100,0.0850
0,5,0.9750,0.0050,0.0100,0.0000,0.0100
3,1,0.2150,0.1250,0.3700,0.1800,0.1100
3,2,0.6550,0.0200,0.0600,0.0450,0.2200
3,3,0.9300,0.0200,0.0150,0.0150,0.0200
3,4,0.9600,0.0150,0.0100,0.0100,0.0050
3,5,0.9750,0.0050,0.0100,0.0000,0.0100
7,1,0.2300,0.1650,0.3700,0.1300,0.1050
7,2,0.5950,0.2250,0.0550,0.0450,0.0800
7,3,0.9250,0.0250,0.0150,0.0150,0.0200
7,4,0.9600,0.0150,0.0100,0.0100,0.0050
7,5,0.9750,0.0050,0.0100,0.0000,0.0100
6,1,0.2300,0.1400,0.3700,0.1250,0.1350
6,2,0.6700,0.0250,0.0500,0.0450,0.2100
6,3,0.9300,0.0200,0.0150,0.0150,0.0200
6,4,0.9600,0.0150,0.0100,0.0100,0.0050
6,5,0.9750,0.0050,0.0100,0.0000,0.0100
1,1,0.2050,0.2750,0.2950,0.1300,0.0950
1,2,0.1700,0.6650,0.0500,0.0450,0.0700
1,3,0.3100,0.6400,0.0150,0.0150,0.0200
1,4,0.6650,0.3100,0.0100,0.0100,0.0050
1,5,0.9500,0.0300,0.0100,0.0000,0.0100
11,1,0.1600,0.1250,0.2750,0.3450,0.0950
11,2,0.4350,0.0200,0.0550,0.3100,0.1800
11,3,0.9200,0.0200,0.0150,0.0150,0.0300
11,4,0.9600,0.0150,0.0100,0.0100,0.0050
11,5,0.9750,0.0050,0.0100,0.0000,0.0100
9,1,0.1550,0.1250,0.3950,0.2300,0.0950
9,2,0.5700,0.0200,0.0900,0.1400,0.1800
9,3,0.9250,0.0200,0.0150,0.0150,0.0250
9,4,0.9600,0.0150,0.0100,0.0100,0.0050
9,5,0.9750,0.0050,0.0100,0.0000,0.0100
8,1,0.2000,0.1650,0.3800,0.1600,0.0950
8,2,0.5450,0.1450,0.0800,0.0450,0.1850
8,3,0.9050,0.0200,0.0150,0.0150,0.0450
8,4,0.9600,0.0150,0.0100,0.0100,0.0050
8,5,0.9750,0.0050,0.0100,0.0000,0.0100
10,1,0.1550,0.1250,0.5000,0.1250,0.0950
10,2,0.1950,0.0200,0.6650,0.0450,0.0750
10,3,0.6350,0.0200,0.1400,0.0150,0.1900
10,4,0.9600,0.0150,0.0100,0.0100,0.0050
10,5,0.9750,0.0050,0.0100,0.0000,0.0100
12,1,0.1900,0.1250,0.4650,0.1250,0.0950
12,2,0.6500,0.0200,0.1150,0.0450,0.1700
12,3,0.9200,0.0200,0.0150,0.0150,0.0300
12,4,0.9600,0.0150,0.0100,0.0100,0.0050
12,5,0.9750,0.0050,0.0100,0.0000,0.0100
13,1,0.2300,0.1250,0.4250,0.1250,0.0950
13,2,0.6600,0.0200,0.0850,0.0450,0.1900
13,3,0.9300,0.0200,0.0150,0.0150,0.0200
13,4,0.9600,0.0150,0.0100,0.0100,0.0050
13,5,0.9750,0.0050,0.0100,0.0000,0.0100
15,1,0.1700,0.1250,0.2650,0.3450,0.0950
15,2,0.6300,0.0200,0.1000,0.1100,0.1400
15,3,0.9250,0.0200,0.0150,0.0150,0.0250
15,4,0.9600,0.0150,0.0100,0.0100,0.0050
15,5,0.9750,0.0050,0.0100,0.0000,0.0100
14,1,0.2150,0.2700,0.2800,0.1400,0.0950
14,2,0.6900,0.0600,0.0500,0.0450,0.1550
14,3,0.9300,0.0200,0.0150,0.0150,0.0200
14,4,0.9600,0.0150,0.0100,0.0100,0.0050
14,5,0.9750,0.0050,0.0100,0.0000,0.0100
18,1,0.2100,0.1250,0.4050,0.1550,0.1050
18,2,0.6400,0.0200,0.0550,0.0450,0.2400
18,3,0.9200,0.0200,0.0150,0.0150,0.0300
18,4,0.9600,0.0150,0.0100,0.0100,0.0050
18,5,0.9750,0.0050,0.0100,0.0000,0.0100
17,1,0.1600,0.1250,0.3150,0.3050,0.0950
17,2,0.6350,0.0200,0.2100,0.0600,0.0750
17,3,0.9250,0.0200,0.0200,0.0150,0.0200
17,4,0.9600,0.0150,0.0100,0.0100,0.0050
17,5,0.9750,0.0050,0.0100,0.0000,0.0100
16,1,0.1550,0.1250,0.2600,0.3500,0.1100
16,2,0.5800,0.0350,0.0500,0.0550,0.2800
16,3,0.8950,0.0200,0.0150,0.0150,0.0550
16,4,0.9600,0.0150,0.0100,0.0100,0.0050
16,5,0.9750,0.0050,0.0100,0.0000,0.0100
19,1,0.1950,0.1300,0.2550,0.2550,0.1650
19,2,0.6550,0.0200,0.0500,0.0500,0.2250
19,3,0.9250,0.0200,0.0150,0.0150,0.0250
19,4,0.9600,0.0150,0.0100,0.0100,0.0050
19,5,0.9750,0.0050,0.0100,0.0000,0.0100
20,1,0.2100,0.1250,0.3650,0.2050,0.0950
20,2,0.6950,0.0200,0.0700,0.0450,0.1700
20,3,0.9250,0.0200,0.0150,0.0150,0.0250
20,4,0.9600,0.0150,0.0100,0.0100,0.0050
20,5,0.9750,0.0050,0.0100,0.0000,0.0100
21,1,0.2250,0.1850,0.3400,0.1350,0.1150
